"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","sex","direction"
"CC","GO:0098800","inner mitochondrial membrane protein complex","6/67","75/5833",0.08,6.96477611940298,5.60399564357394,0.000197937258958166,0.00969849154922986,0.00840274166613437,"ND2/ND4L/ND6/knon/ATPsynG/ATP8",6,"female","up"
"CC","GO:0005753","mitochondrial proton-transporting ATP synthase complex","3/67","11/5833",0.272727272727273,23.7435549525102,8.13818260718813,0.000223811343443766,0.00969849154922986,0.00840274166613437,"knon/ATPsynG/ATP8",3,"female","up"
"CC","GO:0045259","proton-transporting ATP synthase complex","3/67","11/5833",0.272727272727273,23.7435549525102,8.13818260718813,0.000223811343443766,0.00969849154922986,0.00840274166613437,"knon/ATPsynG/ATP8",3,"female","up"
"CC","GO:0033177","proton-transporting two-sector ATPase complex, proton-transporting domain","3/67","14/5833",0.214285714285714,18.6556503198294,7.1290621036103,0.000481691760080601,0.0156549822026195,0.0135634258759538,"knon/ATPsynG/ATP8",3,"female","up"
"CC","GO:1902495","transmembrane transporter complex","6/67","98/5833",0.0612244897959184,5.33018580566555,4.65974014788806,0.00084178646220319,0.0218864480172829,0.0189623476748929,"Nmdar1/ND2/ND4L/Mdr65/ND6/ort",6,"female","up"
"CC","GO:1990351","transporter complex","6/67","104/5833",0.0576923076923077,5.02267508610792,4.4617070767413,0.00114993277868136,0.0249152102047628,0.0215864574243694,"Nmdar1/ND2/ND4L/Mdr65/ND6/ort",6,"female","up"
"CC","GO:0005743","mitochondrial inner membrane","6/67","113/5833",0.0530973451327434,4.62263901730287,4.19155440626382,0.001766445249002,0.0289518397845672,0.025083780218208,"ND2/ND4L/ND6/knon/ATPsynG/ATP8",6,"female","up"
"CC","GO:0019866","organelle inner membrane","6/67","119/5833",0.0504201680672269,4.38956478113634,4.02676366527134,0.00229927460635337,0.0289518397845672,0.025083780218208,"ND2/ND4L/ND6/knon/ATPsynG/ATP8",6,"female","up"
"MF","GO:0003954","NADH dehydrogenase activity","3/75","12/5814",0.25,19.38,7.28550983232614,0.000417270716012208,0.0144166107948239,0.0132380972584049,"ND2/ND4L/ND6",3,"female","up"
"MF","GO:0003955","NAD(P)H dehydrogenase (quinone) activity","3/75","12/5814",0.25,19.38,7.28550983232614,0.000417270716012208,0.0144166107948239,0.0132380972584049,"ND2/ND4L/ND6",3,"female","up"
"MF","GO:0008137","NADH dehydrogenase (ubiquinone) activity","3/75","12/5814",0.25,19.38,7.28550983232614,0.000417270716012208,0.0144166107948239,0.0132380972584049,"ND2/ND4L/ND6",3,"female","up"
"MF","GO:0016655","oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor","3/75","12/5814",0.25,19.38,7.28550983232614,0.000417270716012208,0.0144166107948239,0.0132380972584049,"ND2/ND4L/ND6",3,"female","up"
"MF","GO:0050136","NADH dehydrogenase (quinone) activity","3/75","12/5814",0.25,19.38,7.28550983232614,0.000417270716012208,0.0144166107948239,0.0132380972584049,"ND2/ND4L/ND6",3,"female","up"
"MF","GO:0004303","estradiol 17-beta-dehydrogenase [NAD(P)] activity","3/75","13/5814",0.230769230769231,17.8892307692308,6.96855599355177,0.000537433526181963,0.0144166107948239,0.0132380972584049,"CG9360/CG10962/CG40485",3,"female","up"
"MF","GO:0016491","oxidoreductase activity","13/75","356/5814",0.0365168539325843,2.83078651685393,4.0752909442531,0.000538462932372166,0.0144166107948239,0.0132380972584049,"CG9360/CG10962/CG12224/CG14893/Cyp28a5/ND2/ND4L/ND6/Cyp6a8/CG32026/CG40485/CG9521/GstO1",13,"female","up"
"MF","GO:0033764","steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","3/75","14/5814",0.214285714285714,16.6114285714286,6.68506059524235,0.000677681533782732,0.0144166107948239,0.0132380972584049,"CG9360/CG10962/CG40485",3,"female","up"
